SKU,Description,UnitCost,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Criticality,Urgency
P101,Motor Shaft,120,150,130,160,145,170,140,150,155,160,165,155,150,1,1
P102,Bearing Cap,15,950,1000,900,1100,1050,970,960,950,920,980,940,910,2,2
P103,Sensor Clip,8,60,55,50,65,70,68,72,60,58,62,64,66,2,0
P104,Seal O-Ring,2,400,420,380,410,405,395,390,385,375,365,360,355,3,0
P105,PCB Module,85,35,38,40,45,37,36,39,41,44,46,43,42,4,2
P106,Housing Bracket,18,220,210,205,230,240,235,238,242,246,250,252,255,5,1
P107,Allen Screw,0.12,5000,5200,5100,5300,5400,5250,5350,5450,5550,5650,5750,5850,1,2
P108,Copper Coil,30,70,68,66,72,74,69,71,73,75,77,79,81,2,1
P109,Rotor Magnet,45,40,42,41,39,45,44,43,46,47,48,49,50,1,0
P110,End Cap,12,300,310,305,295,290,285,280,275,270,265,260,255,1,0
